e911_calls.ai_crisis_classification,e911_calls.audio_duration_seconds,e911_calls.audio_file_name,e911_calls.call_id,e911_calls.call_priority,e911_calls.call_type,e911_calls.caller_age_estimate,e911_calls.caller_gender,e911_calls.caller_number,e911_calls.dispatcher_id,e911_calls.emotion_analysis,e911_calls.geolocation,e911_calls.incident_address,e911_calls.incident_risk_score,e911_calls.incident_type,e911_calls.known_individuals_involved,e911_calls.language_detected,e911_calls.location_type,e911_calls.notes,e911_calls.prior_incidents_last_30_days,e911_calls.repeat_call_location,e911_calls.response_status,e911_calls.response_time_seconds,e911_calls.response_unit_dispatched,e911_calls.suspected_substances,e911_calls.timestamp_received,e911_calls.transcription_keywords,e911_calls.transcription_source,e911_calls.transcription_status
"{""classified_as"":""None"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",128,911-20250415-0858.mp3,911-20250415-0858,High,Emergency,65,Other,0019481001123301,D1543,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":6.7}","{""census_tract"":""15466"",""county"":""Yonkers"",""latitude"":40.93121,""longitude"":-73.89875,""state"":""GA""}","5673 Jeffrey Stream Apt. 684, West Johnport, GA 23466",5.9,Assault,True,English,Public Park,Single add role happen pass tough role establish modern attention myself however former knowledge condition ago maybe continue expert under well strategy head bag whatever glass.,5,False,Arrived,458,Rescue 11,"[""Unknown Pills""]",2025-04-15T06:22:37Z,"[""soon"",""against"",""main"",""production"",""poor"",""finish"",""current"",""purpose""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.89,""model_version"":""amazon.titan-text-express-v1""}",176,911-20250507-0870.mp3,911-20250507-0870,High,Emergency,87,Other,72793922689495,D1095,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":9.9}","{""census_tract"":""59825"",""county"":""Beaumont"",""latitude"":33.92946,""longitude"":-116.97725,""state"":""SC""}","2933 Simon Well Apt. 240, Thompsonhaven, WY 81380",8.1,Domestic Disturbance,False,English,Residential,Standard air move rich enjoy person discuss rich join yet sing forget camera low own carry major something ready represent machine continue challenge song.,0,True,Arrived,221,Rescue 10,"[""Marijuana""]",2025-05-07T08:08:48Z,"[""stock"",""particularly"",""bit"",""travel"",""indicate"",""away"",""may"",""operation""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.89,""model_version"":""amazon.titan-text-express-v1""}",65,911-20250422-0694.mp3,911-20250422-0694,Low,Emergency,79,Female,001751937849531273,D3694,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":6.8}","{""census_tract"":""68283"",""county"":""Saratoga Springs"",""latitude"":40.34912,""longitude"":-111.90466,""state"":""GA""}","8019 Henderson Estate Apt. 346, South Joshuafurt, MD 19991",5.5,Drug Overdose,True,English,Apartment Complex,Although put believe writer blue month board old kind past movement analysis style over whose economy language so few program true possible stand.,3,True,Arrived,267,Rescue 4,"[""Fentanyl""]",2025-04-22T20:18:22Z,"[""voice"",""source"",""it"",""friend"",""character"",""center"",""suggest"",""so""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.82,""model_version"":""amazon.titan-text-express-v1""}",111,911-20250415-0488.mp3,911-20250415-0488,Medium,Emergency,63,Male,0019041898566430,D1157,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.9}","{""census_tract"":""29010"",""county"":""Palm Valley"",""latitude"":30.17746,""longitude"":-81.38758,""state"":""KY""}","5623 Schmidt Pass Suite 656, North Jamie, AR 55117",5.2,Domestic Disturbance,True,English,Apartment Complex,Him two lot operation program language think send past Democrat admit forget service room task minute something she role nice week now final operation send employee.,1,False,Arrived,310,Rescue 11,"[""Alcohol""]",2025-04-15T12:37:55Z,"[""positive"",""those"",""catch"",""option"",""those"",""yeah"",""son"",""test""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",81,911-20250505-0077.mp3,911-20250505-0077,Critical,Emergency,39,Other,1453038567,D5807,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":6.3}","{""census_tract"":""18270"",""county"":""Encinitas"",""latitude"":33.03699,""longitude"":-117.29198,""state"":""SC""}","PSC 0051, Box 8449, APO AP 75233",3.8,Traffic Accident,True,English,Industrial,Image stage generation society thought according think key discover method exactly change church own stage produce increase form box push look opportunity positive improve during.,0,True,Arrived,135,Rescue 15,"[""Alcohol""]",2025-05-05T05:31:45Z,"[""community"",""president"",""half"",""president"",""structure"",""might"",""heavy"",""trade""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.8,""model_version"":""amazon.titan-text-express-v1""}",134,911-20250505-0953.mp3,911-20250505-0953,Low,Emergency,88,Other,8441616936,D3513,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":5.3}","{""census_tract"":""21802"",""county"":""Vestavia Hills"",""latitude"":33.44872,""longitude"":-86.78777,""state"":""NC""}","88516 David Parkways Apt. 370, Timothyport, AZ 32338",2.4,Medical,False,English,School,Decision glass sort doctor manage available sometimes in skin everyone its state ever long statement color treat around top simply thought story power vote miss.,5,True,Arrived,974,Rescue 20,"[""Marijuana""]",2025-05-05T13:45:43Z,"[""live"",""until"",""compare"",""table"",""free"",""environment"",""responsibility"",""campaign""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",158,911-20250510-0414.mp3,911-20250510-0414,Low,Emergency,82,Male,267625906200363,D5951,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":9.1}","{""census_tract"":""65436"",""county"":""Scotch Plains"",""latitude"":40.65538,""longitude"":-74.38987,""state"":""GA""}","646 Justin Mission Suite 597, North Alexandra, OR 92118",4.7,Burglary,False,English,Commercial,Trial media alone science thousand sport add example reduce product central indicate their fast camera seat wish either herself candidate church nature region they south avoid term.,5,False,Arrived,577,Rescue 14,[],2025-05-10T10:55:35Z,"[""show"",""quickly"",""security"",""stuff"",""remain"",""success"",""our"",""back""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",100,911-20250502-0437.mp3,911-20250502-0437,High,Emergency,74,Other,069626168455252,D5699,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":9.2}","{""census_tract"":""67535"",""county"":""Front Royal"",""latitude"":38.91817,""longitude"":-78.19444,""state"":""SC""}","410 Cynthia Haven Suite 179, Abigailstad, MS 79735",6.7,Burglary,False,English,Public Park,Red future later voice true decade hair measure though system contain point beat choose identify set gun happen else them live professional bar teacher president ever stuff above.,2,True,Arrived,1088,Rescue 15,"[""Fentanyl""]",2025-05-02T07:17:21Z,"[""executive"",""now"",""wear"",""determine"",""around"",""hard"",""opportunity""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",107,911-20250511-0270.mp3,911-20250511-0270,Medium,Emergency,32,Other,3258486899,D2162,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":9.9}","{""census_tract"":""23491"",""county"":""Lompoc"",""latitude"":34.63915,""longitude"":-120.45794,""state"":""PA""}","PSC 3607, Box 9848, APO AA 06335",4.7,Mental Health Crisis,False,English,School,Occur type strong development enter through system stage protect often house above director develop start dream able answer away sort movement tonight vote administration than run short.,4,False,Arrived,727,Rescue 4,"[""Fentanyl""]",2025-05-11T08:13:26Z,"[""expect"",""adult"",""operation"",""whole"",""artist"",""stop"",""individual"",""less""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",75,911-20250503-0294.mp3,911-20250503-0294,Medium,Emergency,58,Female,92182192596790,D9804,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":7.9}","{""census_tract"":""69394"",""county"":""Huntley"",""latitude"":42.16808,""longitude"":-88.42814,""state"":""NY""}","69984 Stephanie Crossroad Apt. 509, Lake Meagan, VA 78911",5.6,Burglary,True,English,Residential,Mention picture positive exist later nation leader special tree receive kid ground condition time I hospital cultural shoulder prevent ago past ever sister white as physical wind.,3,True,Arrived,167,Rescue 4,"[""Alcohol""]",2025-05-03T02:25:45Z,"[""respond"",""economy"",""why"",""possible"",""fear"",""paper"",""suffer""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",77,911-20250413-0631.mp3,911-20250413-0631,High,Emergency,77,Other,001452395960233159,D7755,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":6.8}","{""census_tract"":""64332"",""county"":""Kearns"",""latitude"":40.65995,""longitude"":-111.99633,""state"":""MD""}","PSC 9875, Box 1757, APO AP 04374",3.4,Domestic Disturbance,False,English,Highway,Executive attack from college somebody evidence water usually another message national management glass red machine future must we above full send field amount peace training compare easy.,5,False,Arrived,453,Rescue 18,"[""Unknown Pills""]",2025-04-13T00:12:12Z,"[""culture"",""cultural"",""standard"",""nearly"",""Mrs"",""some"",""tell""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.96,""model_version"":""amazon.titan-text-express-v1""}",39,911-20250415-0073.mp3,911-20250415-0073,Critical,Emergency,44,Female,+10947985158328,D3254,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.5}","{""census_tract"":""51770"",""county"":""Iron River"",""latitude"":46.09273,""longitude"":-88.64235,""state"":""VA""}","8861 Walker Forest, Markport, WV 81540",8.5,Robbery,False,English,Residential,Truth during always those high someone box either rich agency might side method meet main fast prepare fly bank benefit will significant mouth phone decision picture defense.,5,False,Arrived,359,Rescue 11,"[""Unknown Pills""]",2025-04-15T23:04:38Z,"[""most"",""you"",""statement"",""wonder"",""across"",""protect"",""knowledge"",""toward""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.95,""model_version"":""amazon.titan-text-express-v1""}",94,911-20250426-0122.mp3,911-20250426-0122,Critical,Emergency,24,Other,15208507698640,D4965,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":7.7}","{""census_tract"":""98208"",""county"":""Milledgeville"",""latitude"":33.08014,""longitude"":-83.2321,""state"":""OH""}","6965 Lindsey Courts, West Tyler, WV 87976",1.7,Mental Health Crisis,True,English,School,Degree enter father of source person when response official option event note most interview girl baby statement measure feel professional finish increase economy middle public.,3,False,Arrived,680,Rescue 5,"[""Marijuana""]",2025-04-26T03:25:31Z,"[""fund"",""pass"",""guy"",""job"",""market"",""suggest"",""skin"",""subject""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.86,""model_version"":""amazon.titan-text-express-v1""}",71,911-20250423-0570.mp3,911-20250423-0570,Medium,Emergency,29,Other,00177198883743450,D1467,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":5.6}","{""census_tract"":""65822"",""county"":""Malden"",""latitude"":42.4251,""longitude"":-71.06616,""state"":""OH""}","593 Randall Summit Suite 023, New Michelleshire, TX 51610",9.7,Gunshots,True,English,Apartment Complex,If form you cost bill green allow dog later above national decide test information fact interview toward onto around local employee everybody involve trial business.,4,False,Arrived,880,Rescue 9,"[""Fentanyl""]",2025-04-23T08:58:58Z,"[""exactly"",""soon"",""weight"",""close"",""us"",""fear"",""themselves"",""group""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.83,""model_version"":""amazon.titan-text-express-v1""}",86,911-20250505-0390.mp3,911-20250505-0390,Critical,Emergency,79,Other,2479254221883,D4394,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":5.8}","{""census_tract"":""45171"",""county"":""Bothell"",""latitude"":47.76232,""longitude"":-122.2054,""state"":""MD""}","581 Jill Avenue Suite 877, South Trevorfurt, OK 26489",4.6,Traffic Accident,True,English,Highway,Wall coach level myself face item arm mind PM size grow month court school commercial simple record report local identify commercial science entire lot probably single gun.,1,False,Arrived,134,Rescue 13,"[""Unknown Pills""]",2025-05-05T11:04:54Z,"[""which"",""thing"",""serious"",""open"",""worry"",""involve"",""believe""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.88,""model_version"":""amazon.titan-text-express-v1""}",152,911-20250429-0925.mp3,911-20250429-0925,Critical,Emergency,60,Male,9980684960,D5654,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":6.5}","{""census_tract"":""59563"",""county"":""Fayetteville"",""latitude"":35.05266,""longitude"":-78.87836,""state"":""MD""}","2995 Amber Mountain, Lake Eric, SC 57375",2.3,Gunshots,True,English,Public Park,Table which provide director own away yet work animal present just traditional may skin thus direction almost democratic magazine amount interesting window cell bring remember.,0,True,Arrived,994,Rescue 10,"[""Marijuana""]",2025-04-29T02:04:41Z,"[""continue"",""because"",""argue"",""identify"",""lead"",""wonder"",""southern""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",116,911-20250415-0288.mp3,911-20250415-0288,Medium,Emergency,55,Other,1570908599,D1606,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":9.7}","{""census_tract"":""79984"",""county"":""Rolla"",""latitude"":37.95143,""longitude"":-91.77127,""state"":""MD""}","9207 Aguilar Expressway Suite 999, Wangshire, MS 86585",1.4,Burglary,True,English,Apartment Complex,Far movement hand himself weight eat form bill again matter finally peace window create compare couple continue sister standard family center wide identify nice visit.,5,False,Arrived,93,Rescue 15,"[""Alcohol""]",2025-04-15T01:23:30Z,"[""fast"",""need"",""painting"",""outside"",""role"",""question"",""wonder"",""lay""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.88,""model_version"":""amazon.titan-text-express-v1""}",117,911-20250416-0517.mp3,911-20250416-0517,Critical,Emergency,20,Male,9261548720,D2179,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":6.8}","{""census_tract"":""10686"",""county"":""Davis"",""latitude"":38.54491,""longitude"":-121.74052,""state"":""SC""}","0254 Morris Shoals, West Kennethton, WA 94862",8.5,Mental Health Crisis,True,English,Public Park,Long finally best Democrat dark soldier example moment significant arrive air bag development church film view worry man wind everyone join nothing which include wrong.,1,False,Arrived,1179,Rescue 14,"[""Alcohol""]",2025-04-16T16:05:17Z,"[""already"",""nor"",""truth"",""successful"",""nothing"",""many"",""piece"",""down""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.85,""model_version"":""amazon.titan-text-express-v1""}",77,911-20250416-0198.mp3,911-20250416-0198,Low,Emergency,42,Female,20595565749025,D3637,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":8.2}","{""census_tract"":""37752"",""county"":""Toledo"",""latitude"":41.66394,""longitude"":-83.55521,""state"":""KY""}","019 Lindsey Pass, Shelbyfurt, OR 04773",2.0,Mental Health Crisis,True,English,School,Piece safe much building these sometimes parent process minute first crime offer treat forget sometimes within discuss fire win realize knowledge whatever improve bag night baby.,1,False,Arrived,351,Rescue 17,"[""Unknown Pills""]",2025-04-16T03:10:47Z,"[""price"",""change"",""several"",""power"",""western"",""when"",""yeah"",""not""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.83,""model_version"":""amazon.titan-text-express-v1""}",47,911-20250421-0199.mp3,911-20250421-0199,High,Emergency,78,Other,+179376392836929,D5671,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":7.8}","{""census_tract"":""56810"",""county"":""Nutley"",""latitude"":40.82232,""longitude"":-74.15987,""state"":""KY""}","5116 Wagner Drive Suite 327, East Davidview, OH 93743",5.1,Mental Health Crisis,True,English,Commercial,Truth toward great I news Republican budget today together option pattern yes and school great large important last strong eye local care contain she trouble.,3,False,Arrived,264,Rescue 8,"[""Unknown Pills""]",2025-04-21T14:00:29Z,"[""us"",""sea"",""call"",""alone"",""issue"",""real"",""wrong"",""car""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",81,911-20250505-0398.mp3,911-20250505-0398,Medium,Emergency,89,Male,00143021781678066,D5512,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":9.6}","{""census_tract"":""87003"",""county"":""Palm Desert"",""latitude"":33.72255,""longitude"":-116.37697,""state"":""TN""}","USNV Alvarado, FPO AP 15429",1.6,Drug Overdose,True,English,Commercial,Tv probably top pressure behavior ability vote simple boy approach out choose piece amount they data message much military together which assume city change close watch.,3,True,Arrived,999,Rescue 17,"[""Marijuana""]",2025-05-05T01:09:31Z,"[""gas"",""population"",""oil"",""sense"",""total"",""appear"",""here"",""surface""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",172,911-20250508-0263.mp3,911-20250508-0263,Low,Emergency,75,Female,2817852282305,D6169,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":9.2}","{""census_tract"":""17342"",""county"":""Chillum"",""latitude"":38.96372,""longitude"":-76.99081,""state"":""OH""}","088 Phillip Expressway Apt. 722, Port Chelsea, OK 37106",7.2,Domestic Disturbance,True,English,Apartment Complex,Senior attack help a leave sometimes quality house must identify modern while wall government painting responsibility see seem model imagine me matter source deal outside happen fear.,4,True,Arrived,673,Rescue 17,"[""Marijuana""]",2025-05-08T01:36:45Z,"[""left"",""lawyer"",""report"",""require"",""class""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",175,911-20250509-0626.mp3,911-20250509-0626,High,Emergency,20,Other,+12682950814,D4539,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.6}","{""census_tract"":""92328"",""county"":""Canton"",""latitude"":42.30865,""longitude"":-83.48216,""state"":""OH""}","23235 Watkins Views Suite 803, Nancyburgh, NC 04467",9.5,Burglary,True,English,Industrial,Start space guess small state treatment group exactly red manage lot experience travel not enough onto almost interview southern any across nothing them under hope national call score.,5,True,Arrived,112,Rescue 14,"[""Unknown Pills""]",2025-05-09T19:59:42Z,"[""from"",""unit"",""many"",""animal"",""market"",""program"",""because""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.9,""model_version"":""amazon.titan-text-express-v1""}",112,911-20250425-0553.mp3,911-20250425-0553,Low,Emergency,42,Other,5460189113,D4862,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":5.4}","{""census_tract"":""74058"",""county"":""New Canaan"",""latitude"":41.14676,""longitude"":-73.49484,""state"":""PA""}","8571 Jason Trafficway, Holtmouth, ND 55028",6.0,Burglary,False,English,Highway,Beat receive data base difference begin option figure alone peace week anything nation month audience here include special citizen bring occur put than already child provide court.,4,False,Arrived,701,Rescue 16,"[""Fentanyl""]",2025-04-25T00:24:41Z,"[""beautiful"",""management"",""face"",""campaign"",""should"",""character"",""significant""]",AWS Transcribe,Completed
